,age,[Z/H],alpha,HdA,HdF,HgA,HgF,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C4668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2,<Fe>,MgFe
0,0.1,-2.25,0.3,9.87,8.39,9.79,8.29,-0.238,-0.145,-0.806,-4.91,-3.04,-0.487,-1.63,1.06,6.6,-1.33,0.00464,-0.0271,-0.244,-0.862,-0.522,-0.478,-0.317,-0.623,0.74,0.0102,-0.0107,-0.692,0.410911182617363
1,0.2,-2.25,0.3,10.7,8.64,10.8,8.6,-0.241,-0.149,-0.698,-5.21,-2.97,-0.422,-1.4,0.956,6.67,-1.06,0.00214,-0.0192,-0.0403,-0.677,-0.393,-0.425,-0.286,-0.588,0.77,0.0111,-0.00955,-0.535,0.146834941345717
2,0.4,-2.25,0.3,9.35,7.71,8.99,7.56,-0.254,-0.156,-0.554,-4.2,-2.89,-0.383,-1.25,0.95,6.73,-0.815,0.00355,-0.00831,0.2,-0.572,-0.29,-0.393,-0.244,-0.572,0.785,0.0133,-0.00886,-0.431,-10
3,0.6,-2.25,0.3,9.1,7.3,8.47,7.04,-0.234,-0.14,-0.458,-3.51,-2.73,-0.238,-0.92,1.21,6.14,-0.292,0.00685,-0.00271,0.243,-0.154,-0.0469,-0.228,-0.119,-0.477,0.785,0.0139,-0.00634,-0.10045,-10
4,0.8,-2.25,0.3,9.23,7.36,8.51,7.02,-0.231,-0.136,-0.398,-3.44,-2.61,-0.171,-0.74,1.29,5.99,-0.0183,0.00875,0.0013,0.341,0.0308,0.0648,-0.142,-0.0556,-0.425,0.795,0.0136,-0.00515,0.0478,0.127670670085184
5,1,-2.25,0.3,9.32,7.38,8.59,7.02,-0.231,-0.136,-0.361,-3.41,-2.57,-0.146,-0.665,1.29,5.96,0.0658,0.00914,0.0039,0.385,0.0887,0.104,-0.116,-0.0422,-0.41,0.815,0.0137,-0.00455,0.09635,0.192599974039458
6,2,-2.25,0.3,8.5,6.33,7.7,6.05,-0.202,-0.121,-0.21,-2.43,-1.95,-0.0649,-0.349,0.852,4.91,0.335,0.0047,0.01,0.391,0.254,0.23,-0.0278,-0.00751,-0.346,0.79,0.0128,-0.00414,0.242,0.30760689199041
7,3,-2.25,0.3,8.18,5.94,6.88,5.48,-0.187,-0.114,-0.117,-1.93,-1.65,-0.0265,-0.183,0.573,4.48,0.452,0.00332,0.0131,0.415,0.369,0.292,0.0171,0.00794,-0.317,0.803,0.0121,-0.00435,0.3305,0.370347809498045
8,4,-2.25,0.3,7.77,5.58,6.24,5.07,-0.175,-0.109,-0.0446,-1.54,-1.4,-0.00482,-0.0759,0.353,4.16,0.509,0.00224,0.0177,0.503,0.439,0.322,0.0376,0.0102,-0.307,0.822,0.0117,-0.00466,0.3805,0.437483142532372
9,5,-2.25,0.3,7.24,5.19,5.54,4.63,-0.162,-0.103,0.0197,-1.16,-1.16,0.0147,0.0113,0.175,3.85,0.546,0.00192,0.0217,0.581,0.502,0.349,0.0544,0.0119,-0.298,0.848,0.0113,-0.00497,0.4255,0.497207703077899
10,6,-2.25,0.3,6.73,4.82,4.86,4.22,-0.151,-0.0958,0.0714,-0.819,-0.841,0.0522,0.106,0.0848,3.58,0.61,0.0009,0.0243,0.607,0.579,0.406,0.0918,0.0217,-0.274,0.854,0.011,-0.00512,0.4925,0.546760916671995
11,7,-2.25,0.3,6.19,4.49,4.29,3.88,-0.143,-0.0932,0.119,-0.535,-0.722,0.0503,0.141,-0.0584,3.33,0.603,0.00207,0.0278,0.66,0.584,0.397,0.0842,0.0156,-0.286,0.901,0.0107,-0.00546,0.4905,0.568972758574609
12,8,-2.25,0.3,5.84,4.29,3.99,3.68,-0.138,-0.0911,0.149,-0.379,-0.554,0.0594,0.177,-0.126,3.12,0.615,0.00274,0.0336,0.858,0.602,0.411,0.0931,0.0154,-0.284,0.934,0.0104,-0.0057,0.5065,0.659224544445972
